nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
Ponte dos Contos,Rua São José | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,7,-20.349550247192383,-43.67607116699219,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10205226-Reviews-Ponte_dos_Contos-Ouro_Preto_State_of_Minas_Gerais.html
Casa da Baronesa,Praca Tiradentes No 33 Iphan | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,3,-20.38581657409668,-43.50367736816406,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083131-Reviews-Casa_da_Baronesa-Ouro_Preto_State_of_Minas_Gerais.html
Caminho dos Diamantes da Estrada Real,indef,Ouro Preto ,4.5,3,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10064355-Reviews-Caminho_dos_Diamantes_da_Estrada_Real-Ouro_Preto_State_of_Minas_Gerais.html
Igreja de São José,Rua Teixeira Amaral | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,51,-20.384780883789062,-43.50790023803711,https://www.tripadvisor.com.br/Attraction_Review-g303389-d7195241-Reviews-Igreja_de_Sao_Jose-Ouro_Preto_State_of_Minas_Gerais.html
Mina Treze de Maio - Casa de Mineração,Rua 13 de Maio N°67 | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.0,8,-20.385269165039062,-43.49591827392578,https://www.tripadvisor.com.br/Attraction_Review-g303389-d12947713-Reviews-Mina_Treze_de_Maio_Casa_de_Mineracao-Ouro_Preto_State_of_Minas_Gerais.html
Casa de Alphonsus de Guimaraens,Rua Sao Jose 165 Centro | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.5,4,-20.384946823120117,-43.50710678100586,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10083175-Reviews-Casa_de_Alphonsus_de_Guimaraens-Ouro_Preto_State_of_Minas_Gerais.html
Estação Ecológica do Tripuí,Vale do Córrego Tripuí | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,4.5,29,-20.31641960144043,-43.57683181762695,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389277-Reviews-Estacao_Ecologica_do_Tripui-Ouro_Preto_State_of_Minas_Gerais.html
Cachoeira Bigode do Chinês,Victorino Dias | Ouro Preto | Minas Gerais 35400-000 Brasil,Ouro Preto ,4.0,7,-20.389690399169922,-43.506710052490234,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10037896-Reviews-Cachoeira_Bigode_do_Chines-Ouro_Preto_State_of_Minas_Gerais.html
Capela de Nossa Senhora das Dores do Monte Calvário,R. Prof. Hermínio Barbosa Antonio Dias | Ouro Preto | Minas Gerais Brasil,Ouro Preto ,5.0,5,-20.38956069946289,-43.49895095825195,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10034311-Reviews-Capela_de_Nossa_Senhora_das_Dores_do_Monte_Calvario-Ouro_Preto_State_of_Minas_Ge.html
Igreja De Glaura,indef,Ouro Preto ,4.0,21,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d6436843-Reviews-Igreja_De_Glaura-Ouro_Preto_State_of_Minas_Gerais.html
