estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,SRoscito,2018-09-27,2018-09-14,5.0,"Para curtir o clima da cidade, sem turistas!!!","Vale muito a pena conhecer a loja de fábrica! Tem sabores de cervajas exclusivos, que você não encontra em lugar nenhum da cidade!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Kennya C,2018-09-12,2018-09-14,5.0,"Bem legal","O lugar é legal, pedimos uma tábua de queijos e geleia e estava delicioso, a limonada também estava bem feita, tem umas opções de petiscos bem legais!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,sergio e,2018-09-10,2018-09-14,3.0,"Vale a pena conhecer","Lugar feito para se tomar uma cerveja ou chopp bem gelado sem compromisso, pratos modestos com preço razoavel,atendimento tambem sem muito compromisso, boa musica, conforme titulo de minha avaliação vale a pena conhecer.Loja de fabrica quem quiser levar cerveja para casa e o melhor preço...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,476alanar,2018-09-09,2018-09-14,5.0,"Muito bom! ","Cerveja e petiscos muito gostosos. Pastel de queijo e polenta merecem um destaque especial. Sambinha bem agradável para a tarde!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,renatakc,2018-09-09,2018-09-14,4.0,"Vale o passeio, mas fica um pouco distante do centro!","A cervejaria é muito boa! É bonita, ajeitada, tem um bom atendimento!
As cervejas e as comidinhas são boas também!
O único ponto mais crítico é que ela fica um pouco distante do centro, estávamos a pé então na volta, depois de comer e beber,...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,luizam624,2018-09-08,2018-09-14,3.0,"Informaçoes do cardapio não condizentes com a postura dos funcionarios","Fomos ao local pois já conhecíamos e apreciávamos a cerveja! O lugar é agradavel, toca música boa e os petiscos possuem preço justo! Porém, um ponto bastante desagradável é que o cardápio e a comanda de consumo informam que o estabelecimento não cobra 10% de...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,mariajuliadaniel,2018-09-07,2018-09-14,5.0,"Vale a visita","As cervejas são muito boas, tem bastante opção de petiscos e existem opções vegetarianas sinalizadas no cardápio"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,thiago_cfa,2018-08-13,2018-08-14,5.0,"Descoberta ao acaso","Após subir e descer ladeiras no calor, pareceu um oásis. Excelente cerveja, vendida em a cidade. Vários tipos de chopes, em vários, com excelente preço."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Carla M,2018-08-12,2018-08-14,4.0,"Lugar muito agradável","Cervejaria de ótima qualidade e local excelente, aconchegante e com ótimas músicas. O único problema é que fecha muito cedo."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Trip403554,2018-08-05,2018-05-14,5.0,"Tira-gostos deliciosos para acompanhar os chopp/cervejas artesanais!","Atendimento ótimo, a ouropretana oferece tira-gostos deliciosos para acompanhar os Chopp de fabricação própria. ótimo para um happy hour durante a semana, ou uma saída de sábado a tarde! Minha cerveja preferida é a Ginger IPA!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Advocacia D,2018-07-28,2018-07-14,4.0,"Cervejas ótimas. Tive azar na escolha do prato.","Que lugar bacana. Bar de cervejas deliciosas e astral maravilhoso.
Recomendo de olhos fechados.
 só não gostei do prato de bisteca, a carne da lata estava boa mas o purê de abóbora estava insosso, pena."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,wellington q,2018-07-21,2018-07-14,4.0,"muito bom","muito bom o lugar bem agradável com uma cerveja artesanal bem gelada e gostosa uma comida muito bem feita e saborosa recomendo lugar bem agradável e tranquilo pra ir muito bom"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,flamirandaa,2018-07-16,2018-06-14,4.0,"Tenha atenção ","Há cervejas para todos os gostos, e recomendo pedir 5 por R$30,00. Embora algumas sejam bem peculiares o sabor é de fato surpreendente. 
No entanto, os tira-gostos oferecidos deixam um pouco a desejar. Pedimos uma porção de polenta frita com queijo coalho, gostoso. Pedimos também...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,341carmemm,2018-07-15,2018-07-14,3.0,"Degustação","Bom serviço. Vale a pena a Tabua de degustação. Assim conhece  melhor o prefere. Não bebo cerveja e estava acompanhando minha filha. Acabei degustando e gostei mais da de trigo que é mais leve. Comemos pão de malte com pasta de azeitona e de laranja....Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,EDaZVDO,2018-07-11,2018-06-14,5.0,"Vale a pena","Melhor bar e excelente cervejas. Varias opçoes para poder experimentar uma otima cerveja.  Otimas opções de comidas"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,511prince,2018-06-30,2018-06-14,4.0,"Cervejas Artesanais","Estávamos curiosos para conhecer a Cervejaria Ouropretana.
Degustamos 05 sabores (tábua) e comemos petiscos. A de maracujá é tudo de bom. Foi um final de tarde maravilhoso. Recomendo!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,AlineFM88,2018-06-24,2018-06-14,5.0,"A melhor cerveja “café lager”","O lugar é bem bacana, o atendimento só foi produtivo com o funcionário Thiago, que foi super simpático e atencioso.
Pedimos uma pizza na tábua que estava uma delícia. 
O melhor Chopp é o Café Lager, pra pessoas que amam café assim como eu, super...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Alessandra V,2018-06-23,2018-06-14,5.0,"Ótima comida","Os chopps fazem jus a fama, eu recomendaria o de maracujá, pena que era o único que não tinha como trazer. A comida é excelente e eles fazem um pãozinho que é divino!!!"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,PaulaSrodrigues,2018-06-15,2018-06-14,5.0,"Ótima Variedade!","Visitamos o bar durante a tarde, umas 15hrs, pois era nosso último dia na cidade e queríamos provar a tábua que eles oferecem com 5 tipos de cerveja próprias(R$30). Adoramos! Principalmente a Ipa de maracujá, uma delícia! Aproveitamos para comprar algumas garrafas pra levar pra...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Angelo R,2018-05-22,2018-05-14,4.0,"Boa experiência","Gostei da variedade, atendimento bacana, boa variedade de petiscos. Destaque para a IPA Maracujá... Voltaria mais vezes."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Marcos O,2018-05-17,2018-05-14,5.0,"Tábua de degustação...","Cervejaria localizada fora do Centro de Ouro Preto, entre o Pilar e o Rosário, mas sem dificuldade de achar e estacionar nas proximidades. Abre cedo e fecha cedo, então atenção para os horários. Oferecem petiscos variados. Pedimos uma tábua de degustação com seis sabores da...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,belinhaap,2018-05-08,2018-05-14,3.0,"Local agradável, porém o atendimento péssimo!!!","Fui com mais 3 pessoas ao local. Gostei do ambiente, porém o atendimento é péssimo!!!
Os garçons de muito mal humor, sem disposição ou mesmo solicitude para atender aos clientes, em especial um garçom alto, não tinha identificação do nome do mesmo. O ápice do...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,mikezaum,2018-04-29,2018-04-14,5.0,"Muito agradável","Depois de andar o dia todo conhecendo a cidade nada poderia ser melhor do que sentar para tomar uma boa cerveja! Fizemos uma caminhada tranquila do centro até a cervejaria e lá encontramos o local bastante movimentado, porém conseguimos sentar. Para quem não conhece a...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Paulo C,2018-04-03,2018-03-14,5.0,"Ótimas cervejas e preço justo ","Preço bom das cervejas, aconselho a pedir a tábua que lhe dá direito a experimentar 5 cervejas, vem uma quantidade generosa por 30 reais, fiquei maravilhado com a maracujá IPA, que delicia de cerveja, comemos um torresmo delicioso tbm, o único ponto negativo é o...Mais"
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,Raphaela V,2018-03-10,2017-12-14,3.0,"Cerveja Boa, Comida Boa, Atendimento Ruim","Vale a pena pedir a degustação de cerveja e a porção de torresmo... Maravilhoso!!!  Mas em relação ao atendimento, deixa a desejar... não gosto de lugares que parece um grande favor te atender."
Cervejaria Ouropretana - Loja Da Fábrica,10397940,restaurante-review,ricardo333,2018-02-04,2018-02-14,4.0,"Boa opção!","Bar com chopps e comidas muito boas! Estivemos na cervejaria e bebemos todos os chopps e praticamente comemos todos os petiscos! Destaque para a IPA de maracujá e pizza na tábua e torresmo!!! Vale a pena!"
